txn_date,description,utr,credit_amount
2026-08-11,NEFT CR RAZORPAY SETTLEMENT UTR700001,UTR700001,556.71
2026-08-06,NEFT CR RAZORPAY SETTLEMENT UTR700002,UTR700002,2211.71
2026-08-18,NEFT CR RAZORPAY SETTLEMENT UTR700003,UTR700003,1434.06
2026-08-11,NEFT CR RAZORPAY SETTLEMENT UTR700004,UTR700004,1549.25
2026-08-25,NEFT CR RAZORPAY SETTLEMENT UTR700005,UTR700005,8305.68
2026-08-18,NEFT CR RAZORPAY SETTLEMENT UTR700006,UTR700006,6182.01
2026-08-04,NEFT CR RAZORPAY SETTLEMENT UTR700007,UTR700007,11892.13
2026-08-13,NEFT CR RAZORPAY SETTLEMENT UTR700008,UTR700008,10283.89
2026-08-13,NEFT CR RAZORPAY SETTLEMENT UTR700009,UTR700009,3306.72
2026-08-14,NEFT CR RAZORPAY SETTLEMENT UTR700010,UTR700010,5685.5
2026-08-04,NEFT CR RAZORPAY SETTLEMENT UTR700011,UTR700011,8903.39
2026-08-17,NEFT CR RAZORPAY SETTLEMENT UTR700012,UTR700012,7848.15
2026-08-25,NEFT CR RAZORPAY SETTLEMENT UTR700013,UTR700013,4378.36
2026-08-05,NEFT CR RAZORPAY SETTLEMENT UTR700014,UTR700014,8522.96
2026-08-05,NEFT CR RAZORPAY SETTLEMENT UTR700015,UTR700015,11366.67
2026-08-17,NEFT CR RAZORPAY SETTLEMENT UTR700016,UTR700016,12716.59
2026-08-14,NEFT CR RAZORPAY SETTLEMENT UTR700017,UTR700017,9268.01
2026-08-11,NEFT CR RAZORPAY SETTLEMENT UTR700018,UTR700018,5319.54
2026-08-10,NEFT CR RAZORPAY SETTLEMENT UTR700019,UTR700019,8997.67
2026-08-17,NEFT CR RAZORPAY SETTLEMENT UTR700020,UTR700020,2556.56
2026-08-13,NEFT CR RAZORPAY SETTLEMENT UTR700021,UTR700021,3328.16
2026-08-04,NEFT CR RAZORPAY SETTLEMENT UTR700022,UTR700022,3505.19
2026-08-05,NEFT CR RAZORPAY SETTLEMENT UTR700023,UTR700023,5981.54
2026-08-18,NEFT CR RAZORPAY SETTLEMENT UTR700024,UTR700024,3261.96
2026-08-07,NEFT CR RAZORPAY SETTLEMENT UTR700025,UTR700025,2232.56
2026-08-21,NEFT CR RAZORPAY SETTLEMENT UTR700026,UTR700026,7887.39
2026-08-07,NEFT CR RAZORPAY SETTLEMENT UTR700027,UTR700027,5360.81
2026-08-04,NEFT CR RAZORPAY SETTLEMENT UTR700028,UTR700028,1490.76
2026-08-10,NEFT CR RAZORPAY SETTLEMENT UTR700029,UTR700029,2403.95
2026-08-17,NEFT CR RAZORPAY SETTLEMENT UTR700030,UTR700030,8707.29
2026-08-20,NEFT CR RAZORPAY SETTLEMENT UTR700031,UTR700031,7746.59
2026-08-06,NEFT CR RAZORPAY SETTLEMENT UTR700032,UTR700032,10025.87
2026-08-25,NEFT CR RAZORPAY SETTLEMENT UTR700033,UTR700033,10912.51
2026-08-10,NEFT CR RAZORPAY SETTLEMENT UTR700034,UTR700034,4436.56
2026-08-11,NEFT CR RAZORPAY SETTLEMENT UTR700035,UTR700035,13978.61
2026-08-06,NEFT CR RAZORPAY SETTLEMENT UTR700036,UTR700036,7531.65
2026-08-19,NEFT CR RAZORPAY SETTLEMENT UTR700037,UTR700037,12358.02
2026-08-10,NEFT CR RAZORPAY SETTLEMENT UTR700038,UTR700038,2403.92
2026-08-24,NEFT CR RAZORPAY SETTLEMENT UTR700039,UTR700039,13305.4
2026-08-14,NEFT CR RAZORPAY SETTLEMENT UTR700040,UTR700040,470.97
2026-08-11,NEFT CR RAZORPAY SETTLEMENT UTR700041,UTR700041,3655.53
2026-08-18,NEFT CR RAZORPAY SETTLEMENT UTR700042,UTR700042,1433.04
2026-08-20,NEFT CR RAZORPAY SETTLEMENT UTR700043,UTR700043,14327.86
2026-08-18,NEFT CR RAZORPAY SETTLEMENT UTR700044,UTR700044,2050.63
2026-08-24,NEFT CR RAZORPAY SETTLEMENT UTR700045,UTR700045,4025.54
2026-08-11,NEFT CR RAZORPAY SETTLEMENT UTR700046,UTR700046,1952.8
2026-08-10,NEFT CR RAZORPAY SETTLEMENT UTR700047,UTR700047,-4882.0
2026-08-11,NEFT CR RAZORPAY SETTLEMENT UTR700048,UTR700048,1729.2
2026-08-07,NEFT CR RAZORPAY SETTLEMENT UTR700049,UTR700049,975.42
2026-08-14,NEFT CR RAZORPAY SETTLEMENT UTR700050,UTR700050,325.44
2026-08-18,NEFT CR RAZORPAY SETTLEMENT UTR700051,UTR700051,2441.0
2026-08-18,NEFT CR RAZORPAY SETTLEMENT UTR700052,UTR700052,2436.58
2026-08-19,NEFT CR RAZORPAY SETTLEMENT UTR700053,UTR700053,11575.2
2026-08-21,NEFT CR RAZORPAY SETTLEMENT UTR700054,UTR700054,1220.5
2026-08-12,NEFT CR RAZORPAY SETTLEMENT UTR700055,UTR700055,8681.4
2026-08-06,NEFT CR RAZORPAY SETTLEMENT UTR700056,UTR700056,4340.7
2026-08-12,NEFT CR RAZORPAY SETTLEMENT UTR700057,UTR700057,6834.8
2026-08-11,NEFT CR RAZORPAY SETTLEMENT UTR700058,UTR700058,-150.0
2026-08-04,NEFT CR RAZORPAY SETTLEMENT UTR700059,UTR700059,6346.6
2026-08-21,NEFT CR RAZORPAY SETTLEMENT UTR700060,UTR700060,-4198.52
2026-08-17,NEFT CR RAZORPAY SETTLEMENT UTR700061,UTR700061,5787.6
2026-09-07,NEFT CR RAZORPAY SETTLEMENT UTR700062,UTR700062,-6250.0
2026-08-12,NEFT CR RAZORPAY SETTLEMENT UTR799999,UTR799999,1500.0
2026-08-19,NEFT DR BANK CHARGES UTR899999,UTR899999,-75.0
