order_id,order_date,item_amount,payment_method,order_status
ORD0001,2026-08-09 11:00,570.16,debit_card,captured
ORD0002,2026-08-04 18:00,2265.16,netbanking,captured
ORD0003,2026-08-14 08:00,1486.69,amex,captured
ORD0004,2026-08-08 16:00,1586.69,upi,captured
ORD0005,2026-08-21 19:00,8506.43,upi,captured
ORD0006,2026-08-15 17:00,6408.89,amex,captured
ORD0007,2026-08-01 20:00,12179.57,wallet,captured
ORD0008,2026-08-11 12:00,10532.46,credit_card,captured
ORD0009,2026-08-11 09:00,3386.64,credit_card,captured
ORD0010,2026-08-12 21:00,5822.92,debit_card,captured
ORD0011,2026-08-02 19:00,9135.15,rupay_credit_upi,captured
ORD0012,2026-08-13 09:00,8136.18,international_card,captured
ORD0013,2026-08-21 17:00,4539.04,amex,captured
ORD0014,2026-08-03 08:00,8744.81,rupay_credit_upi,captured
ORD0015,2026-08-03 21:00,11641.41,netbanking,captured
ORD0016,2026-08-13 12:00,13023.96,netbanking,captured
ORD0017,2026-08-12 10:00,9608.13,international_card,captured
ORD0018,2026-08-09 19:00,5458.01,rupay_credit_upi,captured
ORD0019,2026-08-06 16:00,9215.14,debit_card,captured
ORD0020,2026-08-13 12:00,2618.36,netbanking,captured
ORD0021,2026-08-11 21:00,3450.3,amex,captured
ORD0022,2026-08-02 20:00,3589.91,upi,captured
ORD0023,2026-08-03 11:00,6137.24,rupay_credit_upi,captured
ORD0024,2026-08-16 14:00,3346.87,rupay_credit_upi,captured
ORD0025,2026-08-05 11:00,2314.5,international_card,captured
ORD0026,2026-08-19 14:00,8176.86,amex,captured
ORD0027,2026-08-05 16:00,5557.55,emi,captured
ORD0028,2026-08-02 21:00,1545.46,international_card,captured
ORD0029,2026-08-06 20:00,2462.05,debit_card,captured
ORD0030,2026-08-13 14:00,9026.85,emi,captured
ORD0031,2026-08-18 21:00,8030.89,international_card,captured
ORD0032,2026-08-04 18:00,10268.19,upi,captured
ORD0033,2026-08-21 13:00,11312.99,amex,captured
ORD0034,2026-08-06 15:00,4543.8,debit_card,captured
ORD0035,2026-08-09 16:00,14316.48,upi,captured
ORD0036,2026-08-04 21:00,7713.69,credit_card,captured
ORD0037,2026-08-17 17:00,12656.71,wallet,captured
ORD0038,2026-08-06 16:00,2462.02,netbanking,captured
ORD0039,2026-08-20 13:00,13793.7,amex,captured
ORD0040,2026-08-12 21:00,488.26,international_card,captured
ORD0041,2026-08-08 17:00,3743.89,wallet,captured
ORD0042,2026-08-16 21:00,1467.67,debit_card,captured
ORD0043,2026-08-18 20:00,14674.17,debit_card,captured
ORD0044,2026-08-16 16:00,2100.19,credit_card,captured
ORD0045,2026-08-20 14:00,4122.84,credit_card,captured
ORD0046,2026-08-07 23:10,2000,upi,captured
ORD0047,2026-08-06 00:00,5000,credit_card,refunded
ORD0048,2026-08-07 00:00,3000,debit_card,partially_refunded
ORD0049,2026-08-20 00:00,1800,upi,captured
ORD0050,2026-08-05 00:00,999,upi,captured
ORD0051,2026-08-09 00:00,4200,netbanking,captured
ORD0052,2026-08-12 00:00,333.33,credit_card,captured
ORD0053,2026-08-14 00:00,2200,credit_card,failed
ORD0054,2026-08-15 00:00,1000,upi,captured
ORD0055,2026-08-15 00:00,1500,upi,captured
ORD0056,2026-08-16 00:00,2500,rupay_credit_upi,captured
ORD0057,2026-08-17 00:00,12000,emi,captured
ORD0058,2026-08-18 00:00,750,upi,captured
ORD0059,2026-08-19 00:00,1250,debit_card,captured
ORD0059,2026-08-19 00:00,1250,debit_card,captured
ORD0060,2026-08-10 00:00,9000,international_card,captured
ORD0061,2026-08-04 00:00,4500,amex,captured
ORD0062,2026-08-03 00:00,7000,credit_card,captured
ORD0063,2026-08-02 00:00,6500,upi,captured
ORD0064,2026-08-19 00:00,2200,upi,captured
ORD0065,2026-08-13 00:00,6000,international_card,captured
ORD0066,2026-08-07 00:00,8000,upi,captured
