payment_id,order_id,settlement_id,settlement_utr,entity_type,payment_method,gross_amount,fee,gst_on_fee,net_amount,settled_at,txn_status,arn,dispute_id,notes
PAY00001,ORD0001,STL0001,UTR700001,payment,debit_card,570.16,11.4,2.05,556.71,2026-08-11,settled,,,
PAY00002,ORD0002,STL0002,UTR700002,payment,netbanking,2265.16,45.3,8.15,2211.71,2026-08-06,settled,,,
PAY00003,ORD0003,STL0003,UTR700003,payment,amex,1486.69,44.6,8.03,1434.06,2026-08-18,settled,,,
PAY00004,ORD0004,STL0004,UTR700004,payment,upi,1586.69,31.73,5.71,1549.25,2026-08-11,settled,,,
PAY00005,ORD0005,STL0005,UTR700005,payment,upi,8506.43,170.13,30.62,8305.68,2026-08-25,settled,,,
PAY00006,ORD0006,STL0006,UTR700006,payment,amex,6408.89,192.27,34.61,6182.01,2026-08-18,settled,,,
PAY00007,ORD0007,STL0007,UTR700007,payment,wallet,12179.57,243.59,43.85,11892.13,2026-08-04,settled,,,
PAY00008,ORD0008,STL0008,UTR700008,payment,credit_card,10532.46,210.65,37.92,10283.89,2026-08-13,settled,,,
PAY00009,ORD0009,STL0009,UTR700009,payment,credit_card,3386.64,67.73,12.19,3306.72,2026-08-13,settled,,,
PAY00010,ORD0010,STL0010,UTR700010,payment,debit_card,5822.92,116.46,20.96,5685.5,2026-08-14,settled,,,
PAY00011,ORD0011,STL0011,UTR700011,payment,rupay_credit_upi,9135.15,196.41,35.35,8903.39,2026-08-04,settled,,,
PAY00012,ORD0012,STL0012,UTR700012,payment,international_card,8136.18,244.09,43.94,7848.15,2026-08-17,settled,,,
PAY00013,ORD0013,STL0013,UTR700013,payment,amex,4539.04,136.17,24.51,4378.36,2026-08-25,settled,,,
PAY00014,ORD0014,STL0014,UTR700014,payment,rupay_credit_upi,8744.81,188.01,33.84,8522.96,2026-08-05,settled,,,
PAY00015,ORD0015,STL0015,UTR700015,payment,netbanking,11641.41,232.83,41.91,11366.67,2026-08-05,settled,,,
PAY00016,ORD0016,STL0016,UTR700016,payment,netbanking,13023.96,260.48,46.89,12716.59,2026-08-17,settled,,,
PAY00017,ORD0017,STL0017,UTR700017,payment,international_card,9608.13,288.24,51.88,9268.01,2026-08-14,settled,,,
PAY00018,ORD0018,STL0018,UTR700018,payment,rupay_credit_upi,5458.01,117.35,21.12,5319.54,2026-08-11,settled,,,
PAY00019,ORD0019,STL0019,UTR700019,payment,debit_card,9215.14,184.3,33.17,8997.67,2026-08-10,settled,,,
PAY00020,ORD0020,STL0020,UTR700020,payment,netbanking,2618.36,52.37,9.43,2556.56,2026-08-17,settled,,,
PAY00021,ORD0021,STL0021,UTR700021,payment,amex,3450.3,103.51,18.63,3328.16,2026-08-13,settled,,,
PAY00022,ORD0022,STL0022,UTR700022,payment,upi,3589.91,71.8,12.92,3505.19,2026-08-04,settled,,,
PAY00023,ORD0023,STL0023,UTR700023,payment,rupay_credit_upi,6137.24,131.95,23.75,5981.54,2026-08-05,settled,,,
PAY00024,ORD0024,STL0024,UTR700024,payment,rupay_credit_upi,3346.87,71.96,12.95,3261.96,2026-08-18,settled,,,
PAY00025,ORD0025,STL0025,UTR700025,payment,international_card,2314.5,69.44,12.5,2232.56,2026-08-07,settled,,,
PAY00026,ORD0026,STL0026,UTR700026,payment,amex,8176.86,245.31,44.16,7887.39,2026-08-21,settled,,,
PAY00027,ORD0027,STL0027,UTR700027,payment,emi,5557.55,166.73,30.01,5360.81,2026-08-07,settled,,,
PAY00028,ORD0028,STL0028,UTR700028,payment,international_card,1545.46,46.36,8.34,1490.76,2026-08-04,settled,,,
PAY00029,ORD0029,STL0029,UTR700029,payment,debit_card,2462.05,49.24,8.86,2403.95,2026-08-10,settled,,,
PAY00030,ORD0030,STL0030,UTR700030,payment,emi,9026.85,270.81,48.75,8707.29,2026-08-17,settled,,,
PAY00031,ORD0031,STL0031,UTR700031,payment,international_card,8030.89,240.93,43.37,7746.59,2026-08-20,settled,,,
PAY00032,ORD0032,STL0032,UTR700032,payment,upi,10268.19,205.36,36.96,10025.87,2026-08-06,settled,,,
PAY00033,ORD0033,STL0033,UTR700033,payment,amex,11312.99,339.39,61.09,10912.51,2026-08-25,settled,,,
